CCN,Facility,Street,City,State,ZIP,Transplant Program Type Code,Transplant Program Type,Original Participation Date,Effective Date,Program Recertification Date,OPTN Code,Original Program?
509804,PROVIDENCE SACRED HEART MEDICAL CENTER,101 W EIGHTH AVENUE,SPOKANE,WA,99204,AHO,Adult Heart Only,3/9/1993,9/21/2010,8/1/2024,WASH,Y
509804,PROVIDENCE SACRED HEART MEDICAL CENTER,101 W EIGHTH AVENUE,SPOKANE,WA,99204,AKO,Adult Kidney Only,10/16/1981,9/21/2010,8/1/2024,WASH,Y
509804,PROVIDENCE SACRED HEART MEDICAL CENTER,101 W EIGHTH AVENUE,SPOKANE,WA,99204,APA,Adult Pancreas,12/2/2015,12/2/2015,8/1/2024,WASH,N
519800,CHARLESTON AREA MEDICAL CENTER - TRANSPLANT,501 MORRIS ST,CHARLESTON,WV,25325,AKO,Adult Kidney Only,8/1/1987,7/29/2009,1/15/2025,WVCA,Y
519801,WVUH TRANSPLANT,ONE MEDICAL CENTER DRIVE,MORGANTOWN,WV,26506,AHO,Adult Heart Only,1/6/2021,1/6/2021,12/18/2024,WVWU,N
519801,WVUH TRANSPLANT,ONE MEDICAL CENTER DRIVE,MORGANTOWN,WV,26506,AKO,Adult Kidney Only,10/28/2020,10/28/2020,12/18/2024,WVWU,N
529801,AURORA ST LUKES MEDICAL CENTER,2900 W OKLAHOMA AVE  5TH FLOOR GALLERIA BUILDING,MILWAUKEE,WI,53215,AHO,Adult Heart Only,5/25/1990,4/29/2009,8/18/2021,WISL,Y
529801,AURORA ST LUKES MEDICAL CENTER,2900 W OKLAHOMA AVE  5TH FLOOR GALLERIA BUILDING,MILWAUKEE,WI,53215,AKO,Adult Kidney Only,7/1/1966,4/29/2009,8/18/2021,WISL,Y
529801,AURORA ST LUKES MEDICAL CENTER,2900 W OKLAHOMA AVE  5TH FLOOR GALLERIA BUILDING,MILWAUKEE,WI,53215,ALI,Adult Liver Only,12/16/2004,4/29/2009,8/18/2021,WISL,Y
529801,AURORA ST LUKES MEDICAL CENTER,2900 W OKLAHOMA AVE  5TH FLOOR GALLERIA BUILDING,MILWAUKEE,WI,53215,ALO,Adult Lung Only,4/24/2009,4/24/2009,8/25/2016,WISL,N
